epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,188.927,0.79429,1.75054,1.03428,0.00787,1,0.995,0.8955,0.61479,3.6847,0.8488,0.00079148,0.00079148,0.00079148
1,24.7427,1.05819,3.82911,1.33542,0.00862,1,0.0995,0.08955,0.54161,3.8314,0.84802,8.574e-05,8.574e-05,8.574e-05
15,209.515,0.68115,1.84014,1.01414,0.00926,1,0.995,0.8955,0.57347,3.79855,0.84409,0.000768802,0.000768802,0.000768802
2,46.7972,0.81477,3.52286,1.18444,0.00826,1,0.24875,0.22387,0.65005,3.71246,0.82932,0.00017964,0.00017964,0.00017964
16,230.291,0.87093,2.06332,1.09946,0.01064,1,0.995,0.8955,0.73386,3.67394,0.92526,0.000721645,0.000721645,0.000721645
3,68.7185,0.62691,3.26821,1.02181,0.00725,1,0.995,0.796,0.72081,3.77437,0.83271,0.000266937,0.000266937,0.000266937
17,251.331,0.70574,1.80388,1.02431,0.61211,1,0.995,0.796,0.78982,3.46717,0.95396,0.000674488,0.000674488,0.000674488
4,90.6454,0.68669,2.94931,1.00615,0.00552,1,0.995,0.796,0.79174,3.67038,0.86881,0.000347633,0.000347633,0.000347633
18,272.889,0.63768,1.69817,1.00841,0.8712,1,0.995,0.796,0.82194,3.1303,0.99417,0.000627331,0.000627331,0.000627331
5,112.507,0.6893,2.71329,1.05716,0.00524,1,0.995,0.8955,0.72274,3.6763,0.84946,0.000421726,0.000421726,0.000421726
19,294.097,0.65818,1.68962,0.99172,0.92845,1,0.995,0.796,0.81552,2.96076,0.9484,0.000580174,0.000580174,0.000580174
6,134.335,0.78268,2.57851,1.12059,0.00546,1,0.995,0.8955,0.58912,3.75331,0.82566,0.000489218,0.000489218,0.000489218
20,314.902,0.71184,1.5412,0.98343,0.94066,1,0.995,0.796,0.85747,2.97152,0.97473,0.000533017,0.000533017,0.000533017
7,157.027,0.78028,2.14945,1.12878,0.00578,1,0.995,0.796,0.66193,3.67299,0.8397,0.000550108,0.000550108,0.000550108
21,341.299,0.51801,1.91602,0.93666,0.94096,1,0.995,0.796,0.85626,2.93119,0.96156,0.00048586,0.00048586,0.00048586
8,198.93,0.75581,2.1996,1.08887,0.00578,1,0.995,0.796,0.9451,3.62475,0.9011,0.000604396,0.000604396,0.000604396
22,381.609,0.5534,1.88983,0.9549,0.94096,1,0.995,0.796,0.85626,2.93119,0.96156,0.000438703,0.000438703,0.000438703
9,237.877,0.77228,2.04521,1.08347,0.00568,1,0.995,0.6965,1.07493,3.769,0.92032,0.000652081,0.000652081,0.000652081
23,419.439,0.53824,1.96804,0.90447,0.94051,1,0.995,0.796,0.7337,3.02488,0.8932,0.000391546,0.000391546,0.000391546
10,277.091,0.81754,1.90611,1.05551,0.00621,1,0.995,0.6965,1.03939,3.71784,0.90133,0.000693165,0.000693165,0.000693165
24,457.648,0.53768,2.00011,0.94374,0.94929,1,0.995,0.796,0.6601,3.22725,0.83424,0.000344389,0.000344389,0.000344389
11,318.039,0.73142,1.93016,1.03162,0.0073,1,0.995,0.796,0.74958,3.47343,0.86899,0.000727647,0.000727647,0.000727647
25,496.916,0.4943,2.05886,0.91361,0.9591,1,0.995,0.8955,0.58232,3.19314,0.81256,0.000297232,0.000297232,0.000297232
12,358.792,0.71352,1.96988,1.04502,0.00719,1,0.995,0.796,0.63503,3.62288,0.85648,0.000755527,0.000755527,0.000755527
26,536.494,0.55816,2.02699,0.93653,0.96519,1,0.995,0.8955,0.55154,2.85608,0.80283,0.000250075,0.000250075,0.000250075
13,397.723,0.72465,1.99402,1.05348,0.00787,1,0.995,0.8955,0.61479,3.6847,0.8488,0.000776804,0.000776804,0.000776804
27,575.102,0.49559,1.89277,0.94158,0.96784,1,0.995,0.8955,0.50845,2.52889,0.79497,0.000202918,0.000202918,0.000202918
14,435.669,0.79429,1.75054,1.03428,0.00787,1,0.995,0.8955,0.61479,3.6847,0.8488,0.00079148,0.00079148,0.00079148
28,612.851,0.46164,1.89535,0.90849,0.97101,1,0.995,0.8955,0.53824,2.29276,0.79257,0.000155761,0.000155761,0.000155761
15,475.762,0.68115,1.84014,1.01414,0.00926,1,0.995,0.8955,0.57347,3.79855,0.84409,0.000768802,0.000768802,0.000768802
29,652.219,0.47523,1.82529,0.91272,0.97235,1,0.995,0.8955,0.5581,2.1563,0.80074,0.000108604,0.000108604,0.000108604
30,690.551,0.45669,1.73748,0.88079,0.97235,1,0.995,0.8955,0.5581,2.1563,0.80074,6.1447e-05,6.1447e-05,6.1447e-05
16,514.511,0.87093,2.06332,1.09946,0.01064,1,0.995,0.8955,0.73386,3.67394,0.92526,0.000721645,0.000721645,0.000721645
17,536.719,0.70574,1.80388,1.02431,0.61211,1,0.995,0.796,0.78982,3.46717,0.95396,0.000674488,0.000674488,0.000674488
18,557.986,0.63768,1.69817,1.00841,0.8712,1,0.995,0.796,0.82194,3.1303,0.99417,0.000627331,0.000627331,0.000627331
19,579.366,0.65818,1.68962,0.99172,0.92845,1,0.995,0.796,0.81552,2.96076,0.9484,0.000580174,0.000580174,0.000580174
20,601.735,0.71184,1.5412,0.98343,0.94066,1,0.995,0.796,0.85747,2.97152,0.97473,0.000533017,0.000533017,0.000533017
21,623.083,0.51801,1.91602,0.93666,0.94096,1,0.995,0.796,0.85626,2.93119,0.96156,0.00048586,0.00048586,0.00048586
22,645.184,0.5534,1.88983,0.9549,0.94096,1,0.995,0.796,0.85626,2.93119,0.96156,0.000438703,0.000438703,0.000438703
23,666.906,0.53824,1.96804,0.90447,0.94051,1,0.995,0.796,0.7337,3.02488,0.8932,0.000391546,0.000391546,0.000391546
24,687.354,0.53768,2.00011,0.94374,0.94929,1,0.995,0.796,0.6601,3.22725,0.83424,0.000344389,0.000344389,0.000344389
25,707.949,0.4943,2.05886,0.91361,0.9591,1,0.995,0.8955,0.58232,3.19314,0.81256,0.000297232,0.000297232,0.000297232
26,728.359,0.55816,2.02699,0.93653,0.96519,1,0.995,0.8955,0.55154,2.85608,0.80283,0.000250075,0.000250075,0.000250075
27,750.026,0.49559,1.89277,0.94158,0.96784,1,0.995,0.8955,0.50845,2.52889,0.79497,0.000202918,0.000202918,0.000202918
28,771.622,0.46164,1.89535,0.90849,0.97101,1,0.995,0.8955,0.53824,2.29276,0.79257,0.000155761,0.000155761,0.000155761
29,793.628,0.47523,1.82529,0.91272,0.97235,1,0.995,0.8955,0.5581,2.1563,0.80074,0.000108604,0.000108604,0.000108604
30,815.529,0.45669,1.73748,0.88079,0.97235,1,0.995,0.8955,0.5581,2.1563,0.80074,6.1447e-05,6.1447e-05,6.1447e-05
